AAC,AAC Holdings,Conglomerates,Conglomerates
AAU,Almaden Minerals Ltd.,Basic Materials,Industrial Metals & Minerals
ABL,American Biltrite Inc.,Consumer Goods,Rubber & Plastics
ACU,Acme United Corp.,Consumer Goods,Office Supplies
ACY,AeroCentury Corp.,Services,Rental & Leasing Services
ADGI,Allied Defense Group Inc.,Industrial Goods,Aerospace/Defense Products & Services
ADK,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities
AE,Adams Resources & Energy Inc.,Basic Materials,Major Integrated Oil & Gas
AEN,"Adeona Pharmaceuticals, Inc.",Healthcare,Biotechnology
AEZ,American Oil & Gas Inc.,Basic Materials,Independent Oil & Gas
AFT,"Apollo Senior Floating Rate Fund, Inc.",,
AGT,Apollo Gold Corp.,Basic Materials,Gold
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction
AIM,ImmunoTech Inc.,Industrial Goods,Aerospace/Defense Products & Services
HAIPF,Hadera Paper Ltd.,Consumer Goods,Paper & Paper Products
AIS,Antares Pharma Inc.,Healthcare,Medical Instruments & Supplies
AMS,American Shared Hospital Services,Healthcare,Specialized Health Services
ANO,Anooraq Resources Corporation,Basic Materials,Industrial Metals & Minerals
ANV,Allied Nevada Gold Corp.,Basic Materials,Gold
SVRA,Savara Inc ,Healthcare,Biotechnology
API,Advanced Photonix Inc.,Technology,Semiconductor - Integrated Circuits
APO,"Apollo Global Management, LLC",Financial,Diversified Investments
APP,"American Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing
APT,Alpha Pro Tech Ltd.,Healthcare,Medical Appliances & Equipment
APYI,Aspyra Inc.,,
AQQ,American Spectrum Realty Inc.,Financial,Property Management
ATCV,Cycle Country Accessories Corp.,Consumer Goods,Auto Parts
AWX,Avalon Holdings Corp.,Industrial Goods,Waste Management
AXK,Accelr8 Technology Corp.,Healthcare,Diagnostic Substances
AXU,Alexco Resource Corporation,Basic Materials,Nonmetallic Mineral Mining
AZC,Augusta Resource Corp.,Basic Materials,Industrial Metals & Minerals
AZK,Aurizon Mines Ltd.,Basic Materials,Gold
