tweet_id,created_at,text,symbols
1212811842864713730,Thu Jan 02 19:04:10 +0000 2020,@Iavender_pop @savage_spy Because u dressed like a girrafe in Halloween or in any ocasiones,
1212811821259862017,Thu Jan 02 19:04:05 +0000 2020,"a good interview. Bell's ""Unmade Up"" is an interesting memoir: I like the spy novel touch of Bell mailing DB letter… https://t.co/w2n7Q5CsQy",
1212811804063289350,Thu Jan 02 19:04:01 +0000 2020,$SPY clear 323.24 accelerate a run up to 323.65,SPY
1212811779329462273,Thu Jan 02 19:03:55 +0000 2020,US flies spy aircraft over Korean Peninsula: Report https://t.co/VQqjoeTrYm,
1212811768906563584,Thu Jan 02 19:03:53 +0000 2020,@Iavender_pop @savage_spy Because there smart animals?,
1212811738464190464,Thu Jan 02 19:03:46 +0000 2020,@strangerwriters Will's getting bullied in school and El unknowingly tries to spy just to see what school's like (h… https://t.co/GAc3rc5y74,
1212811723952021507,Thu Jan 02 19:03:42 +0000 2020,@LarryZeus666 @shattawalegh @LegonCitiesFC You go go spy?,
1212811701801930752,Thu Jan 02 19:03:37 +0000 2020,@Iavender_pop @savage_spy They have excellent eye sight but u don’t? Or maybe u do and u just like there good eyesight?,
1212811639982043149,Thu Jan 02 19:03:22 +0000 2020,"Spy x Family is the best series that premiered this year, my only issue with it is that for the last 2 months since… https://t.co/KIb9nuuprF",
1212811634109890560,Thu Jan 02 19:03:21 +0000 2020,Fast &amp; Furious: Spy Racers is FASCINATING in that it very clearly *is* trying to be a child-friendly version of a F… https://t.co/7NzQyMpZ1h,
1212811608759689217,Thu Jan 02 19:03:15 +0000 2020,finally got around to watching London spy and —for such a promising premise— the show really falls flat in its execution,
1212811601830727681,Thu Jan 02 19:03:13 +0000 2020,$SPY $QQQ $IWM $ES $DJIA $SPX $XRT $XLF $XLY #Markets Are we out of the #recession woods yet? https://t.co/8omPROeAT3,"SPY,QQQ,IWM,ES,DJIA,SPX,XRT,XLF,XLY"
1212811519601324032,Thu Jan 02 19:02:53 +0000 2020,@Iavender_pop @savage_spy Because there nice but also dangerous?,
1212811489859342336,Thu Jan 02 19:02:46 +0000 2020,Our equity systems coming into Q120:value weighing machine: long to 3300 (from 2852)proprietary melt up/dwn indi… https://t.co/D5gZ37b6hf,
1212811455835201536,Thu Jan 02 19:02:38 +0000 2020,@Iavender_pop @savage_spy Because they can kill animals you wouldn’t think they can kill?,
1212811445014061060,Thu Jan 02 19:02:36 +0000 2020,@Vaughanilla_Ice I spy silk,
1212811361761153024,Thu Jan 02 19:02:16 +0000 2020,@wingsoffly His interview with Bollywood spy is also lit 🔥,
1212811357554380800,Thu Jan 02 19:02:15 +0000 2020,"#COVERT PARTYING: #Party like a #spy: #Spookstock is intel world’s hush-hush bash + ""Inside the secretive concert w… https://t.co/6l4zAobsd5",
1212811303393341445,Thu Jan 02 19:02:02 +0000 2020,$SPY Flagging all day. Big squeeze. Decision Imminent...calls over $323.40 https://t.co/WrxV3dWvtW,SPY
1212811298783842304,Thu Jan 02 19:02:01 +0000 2020,@cc_barrett @abc13houston How do you know who I voted for? Are you a Russian spy or bot? https://t.co/p4T8md0cCH,
1212811280827981825,Thu Jan 02 19:01:56 +0000 2020,@starteas the ultimate spy.....,
1212811264411361282,Thu Jan 02 19:01:53 +0000 2020,@realDonaldTrump You personally called for the Russian government to spy on the Clinton campaign. You are not in ja… https://t.co/uIrOdJoseV,
1212811213677244423,Thu Jan 02 19:01:40 +0000 2020,"@JoHedwig @katebevan Yep, pretty horrible bit of history.",
1212811205259268097,Thu Jan 02 19:01:38 +0000 2020,@Iavender_pop @savage_spy Because of the simbol they mean? Because of there meaning?,
1212811126020476928,Thu Jan 02 19:01:20 +0000 2020,"My results since May when I focused on day trading.So happy that I found a style I really enjoy. Unfortunately, m… https://t.co/QvwYVVXwvt",
1212811122635681803,Thu Jan 02 19:01:19 +0000 2020,🔘 ICYMI Ford Focus RS: the next generation goes hybridVia @CARmagazine https://t.co/BKaHlbk5cL,
1212811057120415744,Thu Jan 02 19:01:03 +0000 2020,"@MebFaber I think if the spy literally went to 0$, John Hussman would still lose his clients money",
1212811051621728257,Thu Jan 02 19:01:02 +0000 2020,"#BankofAmerica: #Bullmarket 'feels #toppy,' could have a weak start to the year$spy $dia $qqq  https://t.co/ufwD7IvmIG","SPY,DIA,QQQ"
1212811047700246539,Thu Jan 02 19:01:01 +0000 2020,"@sbasdeo1 Jezza - Czech spy, Soviet spy, IRA mole, Islamist mole - now finally the ultimate truth: Tory deep cover.",
1212811854646566912,Thu Jan 02 19:04:13 +0000 2020,@stkbullgod LONG $TSLA #blessed bullish,TSLA
1212811816524488704,Thu Jan 02 19:04:04 +0000 2020,"Needless to say, shorting $tsla has been a losing proposition for me.",TSLA
