tweet_id,created_at,text
1212753843601203202,Thu Jan 02 15:13:42 +0000 2020,"Hey, do you know everything while trading #SP500? $GOOG $JNJ $GE https://t.co/sr8jSAXxqL https://t.co/FNGdUtyYfI"
1212753120960356354,Thu Jan 02 15:10:50 +0000 2020,$GOOG #patent 20200007774 SMART CAMERA USER INTERFACE #tech #IP #research https://t.co/HazVP54m3T
1212752570214690816,Thu Jan 02 15:08:39 +0000 2020,"@Chronotope Dodd Frank did get watered down, and the CFPB isn't as strong as it should be. The fact many of the sam… https://t.co/DeTM5EkLHw"
1212752196602908675,Thu Jan 02 15:07:10 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Nio's stock pulls back in very active trading  https://t.co/hsCV5fy38A
1212752166068183042,Thu Jan 02 15:07:02 +0000 2020,$GOOG 1354 https://t.co/NFENNrQi5M
1212751714513756161,Thu Jan 02 15:05:15 +0000 2020,"$GOOG $GOOGL NEW ARTICLE : Google sacrificed its 'don't be evil' mantra to grow bigger, former exec says… https://t.co/aADhkqjyup"
1212751033174286339,Thu Jan 02 15:02:32 +0000 2020,@0perationZer0 @sergiosaezdiaz @chaobreaker @InsanityPilgrim @KendySharles @TheCrismasterXD @Nikkibuh2 @Tappxor Ror… https://t.co/gvzDpfRgvA
1212750607783616512,Thu Jan 02 15:00:51 +0000 2020,"Welcome! Do you know you can broadcast your message to 2,500,000+ users on TW, FB, GOOG &amp; 40B for 20 bucks?… https://t.co/PSccTwOIoj"
1212750238290776066,Thu Jan 02 14:59:23 +0000 2020,"Dow Jones Futures Signal Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support

$GOOG $GOOGL… https://t.co/4rcmJ7nJbO"
1212749947751292929,Thu Jan 02 14:58:14 +0000 2020,"$GME looking beautiful today. Wonder when that 104% of the outstanding shares have to cover 🤔

$SPY $MSFT $AMZN $FB… https://t.co/A5kK3EN24q"
1212749926725087237,Thu Jan 02 14:58:08 +0000 2020,"Going to be the decade of Internet-based Stocks

• $BABA
• $FB
• $GOOG

Jump on these now 📈 https://t.co/dfAdwatQpe"
1212749725939593217,Thu Jan 02 14:57:21 +0000 2020,"Welcome! Do you know you can broadcast your message to 2,500,000+ users on TW, FB, GOOG &amp; 40B for 20 bucks?… https://t.co/h716loB1nT"
1212749346120314880,Thu Jan 02 14:55:50 +0000 2020,$GOOG #patent 20200007770 Video Stabilization #tech #IP #research https://t.co/qzIBZYUK3x
1212749320522350593,Thu Jan 02 14:55:44 +0000 2020,@Turkpornovidyo Goog
1212748538213330947,Thu Jan 02 14:52:37 +0000 2020,"#US Stocks: Diverse $GOOG +1.3%. Marketing/Loyalty svc $ADS +1.5%. Semiconductor $AMD +2.7%, $MU +2.8%. Healthcare… https://t.co/g4n7erFi2p"
1212748213289136128,Thu Jan 02 14:51:20 +0000 2020,@RampTheresa 👊🤨 thats some great digging girl!  You must have broke Goog to get there!  Wow!  LOL!
1212745732886802438,Thu Jan 02 14:41:29 +0000 2020,$MDCL$2.76 completing 12 Marijuana Mergers in early 2020 is SOARING with Marijuana Sector #Januaryeffect $AMZN… https://t.co/T0ulTs5cLQ
1212745571624275968,Thu Jan 02 14:40:50 +0000 2020,$GOOG #patent 20200007657 CUSTOM DIGITAL COMPONENTS #tech #IP #research https://t.co/QbxwnXwQG1
1212745373070045185,Thu Jan 02 14:40:03 +0000 2020,Looks goog https://t.co/BEhdYM6KnA
1212745068278427649,Thu Jan 02 14:38:50 +0000 2020,"@FuckTru55201441 @Franklin_Graham goog God bro. ""reportedly"" stole credit...
are we this stupid🕊️🍻"
1212744972442714112,Thu Jan 02 14:38:27 +0000 2020,"$spy $gspc $aapl $nflx $goog $tsla Pepsi unveils new ad slogan, 'That's What I Like'  https://t.co/B8flsT6i4v"
1212744968005201920,Thu Jan 02 14:38:26 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Stocks open first trading day of year close to record highs as investors cheer C… https://t.co/ASW2Q9s0tG
1212744696201498624,Thu Jan 02 14:37:21 +0000 2020,goog night🌙
1212744210950082561,Thu Jan 02 14:35:26 +0000 2020,🔍I Was Google’s Head of International Relations. Here’s Why I Left: https://t.co/TN72I8CpIP #google $GOOG $GOOGL… https://t.co/zNYJbYb7rw
1212743835945750528,Thu Jan 02 14:33:56 +0000 2020,$NYSI $QQQ $DIA $FB $GOOG $XLF $XLE $USD $IBB $NDX  #ES_F $TSLA $BTC $VIX $IWM $RUT $DIA $XLE $XLF $XLU $XRT $GLD… https://t.co/akcyfliKZY
1212743808674197509,Thu Jan 02 14:33:50 +0000 2020,"Welcome! Do you know you can broadcast your message to 2,500,000+ users on TW, FB, GOOG &amp; 40B for 20 bucks?… https://t.co/RIqXnKIA80"
1212743517489029120,Thu Jan 02 14:32:40 +0000 2020,$SBES looking at breakout today! Lets see if we can really start the new year with a bang and test/break our all ti… https://t.co/w5hI121G7R
1212743197966950401,Thu Jan 02 14:31:24 +0000 2020,Bull market 2020 $SPX $QQQ $AAPL $MSFT $GOOG $AMZN $SMH $JPM $BAC $COST $HD https://t.co/TWDJJmGB2i
1212743092194942976,Thu Jan 02 14:30:59 +0000 2020,@danileigh6117 Goog morning
1212743025916620805,Thu Jan 02 14:30:43 +0000 2020,"What will perform better in 2020?

Equal weight mix of: 

1. $FB $AMZN $AAPL $MSFT $GOOG or
2. $SPY

https://t.co/rhmLjQApQu"
1212742843808260096,Thu Jan 02 14:30:00 +0000 2020,REPORT: Google #AI system could improve breast cancer detection $GOOG $GOOGL https://t.co/KT1U4GJz6W https://t.co/UR7dR89zH6
1212742301933375488,Thu Jan 02 14:27:51 +0000 2020,"Welcome! Do you know you can broadcast your message to 2,500,000+ users on TW, FB, GOOG &amp; 40B for 20 bucks?… https://t.co/6LNp1U1WZi"
1212741965982232576,Thu Jan 02 14:26:31 +0000 2020,"@MahiHerambha @ankitasood13 Shud not look for appreciations..
Shud keep doing goog things 😊"
1212741796138233864,Thu Jan 02 14:25:50 +0000 2020,$GOOG #patent 20200007602 REMOTE DESKTOP VIDEO STREAMING ALPHA-CHANNEL #tech #IP #research https://t.co/7UxAmDVF64
